method,method_label,primary_param,primary_value,sway_coef,tag,wer,sim_A,sim_B,mcd_A,duration_s,output_wav
A,Method A — SDEdit (noise injection),noise_level,0.2,-0.2,a0.20_sn0.2,95.0,0.2879,0.3175,699.03,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.20_sn0.2.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,-0.1,a0.20_sn0.1,95.0,0.2655,0.3046,693.84,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.20_sn0.1.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,-0.0,a0.20_sn0.0,95.0,0.2488,0.296,687.98,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.20_sn0.0.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,0.1,a0.20_sp0.1,95.0,0.2364,0.293,682.61,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.20_sp0.1.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,0.2,a0.20_sp0.2,95.0,0.2194,0.2843,677.07,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.20_sp0.2.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,0.3,a0.20_sp0.3,100.0,0.1999,0.2742,671.98,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.20_sp0.3.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,0.4,a0.20_sp0.4,100.0,0.1832,0.269,665.48,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.20_sp0.4.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,0.5,a0.20_sp0.5,100.0,0.1844,0.2752,659.26,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.20_sp0.5.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,0.6,a0.20_sp0.6,95.0,0.1818,0.283,653.91,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.20_sp0.6.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,0.7,a0.20_sp0.7,95.0,0.1708,0.285,649.94,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.20_sp0.7.wav
